Стрижки женские,,
,Стрижка женская (короткие волосы),100
,Стрижка женская (средние волосы),от 130
,Стрижка женская (длинные волосы),150 – 200
,Стрижка челки,40
,Стрижка кончиков волос,90 – 100
Покраска волос,,
,Мелирование волос (короткие волосы) (+ стоимость средств),150
,Мелирование волос (средние волосы) (+ стоимость средств),180 – 190
,Мелирование волос (длинные волосы) (+ стоимость средств),200 – 220
,Мелирование + тон (короткие волосы) (+ стоимость средств),160
,Мелирование + тон (средние волосы) (+ стоимость средств),190
,Мелирование + тон (длинные волосы) (+ стоимость средств),230
,Колорирование волос (короткие волосы) (+ стоимость средств),160
,Колорирование волос (средние  волосы) (+ стоимость средств),200
,Колорирование волос (длинные волосы) (+ стоимость средств),300
,Покраска волос (короткие волосы) (+ стоимость средств),100
,Покраска волос (средние волосы) (+ стоимость средств),от 130
,Покраска волос (длинные волосы) (+ стоимость средств),от 150
,Покраска волос (короткие волосы),130
,Покраска волос (средние волосы),от 150
,Покраска волос (длинные волосы),от 170
Стрижки детские,,
,От,50 – 150
,Рисунок,от 20
